index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
1323,UOAgent,0.5710733912420074,0.16875877490473085,0.48896858262510434,0.7934985084326868,0.682285949837347,S1,UOAgent,0.003914541928679682,nTNoUhVMN,False,False,False,,-2060464807147336632,0.8520427936875007,0.9525250079942447,0.9140845490506934,1.0
1324,AwesomeNegotiator,0.20191801013225863,0.027441839804024756,0.17939921484292112,0.8606031817258382,0.5312605959290484,S0,UOAgent,0.005294667033012956,nLTib9n9x,False,False,False,,-3651855417140796384,0.8885709373569125,0.9371098306162109,0.9084754846544218,1.0
1325,UOAgent,0.8606031817258382,0.5611273150736306,0.6823752694986047,0.20191801013225863,0.5312605959290484,S0,AwesomeNegotiator,0.009331887020380236,n8zGen4Nh,False,False,False,,-3651855417140796384,0.8885709373569125,0.9371098306162109,0.9084754846544218,1.0
1326,Shochan,0.27977463940327996,0.027441839804024756,0.25945265787334393,0.8068538089243602,0.54331422416382,S0,UOAgent,1.1750073378352681,nfMSRo9i6,False,False,False,,-7084287337893488901,0.9554688065232676,0.9959923002174341,0.9290876396614738,1.0
1327,UOAgent,0.8068538089243602,0.5611273150736306,0.559903822430771,0.27977463940327996,0.54331422416382,S0,Shochan,0.011120951239718124,ne8MJQES1,False,False,False,,-7084287337893488901,0.9554688065232676,0.9959923002174341,0.9290876396614738,1.0
1328,UOAgent,0.9081689653270122,0.5209143183374337,0.8268687274537508,0.6467506852102907,0.7774598252686514,S6,AwesomeNegotiator,0.010830741055542603,nPMpahZNC,False,False,False,,-1502342026793754721,0.9951671010372792,0.9402833217381954,0.9863546611388232,1.0
1329,AwesomeNegotiator,0.6467506852102907,0.13140475186614992,0.5933096413288282,0.9081689653270122,0.7774598252686514,S6,UOAgent,0.012300499060074799,niLXVWim4,False,False,False,,-1502342026793754721,0.9951671010372792,0.9402833217381954,0.9863546611388232,1.0
1330,UOAgent,0.6725529687959012,0.19652485722914453,0.59246152895923,0.35749812399705455,0.5150255463964779,S4,RVFitter,0.003465248883003369,ni8HLFCtd,False,False,False,,-1067199642507636945,0.8209321138774841,0.8209321138774841,0.9212989631600221,1.0
1331,RVFitter,0.35749812399705455,0.16424952297751227,0.2312276287391727,0.6725529687959012,0.5150255463964779,S4,UOAgent,0.002457622016663663,nE1WLvzia,False,False,False,,-1067199642507636945,0.8209321138774841,0.8209321138774841,0.9212989631600221,1.0
1332,RVFitter,0.7062745031878888,0.5209143183374337,0.39578231367747135,0.8573628482964047,0.7818186757421468,S6,AwesomeNegotiator,0.008555495063774288,npS4pw43Y,False,False,False,,752181833690385695,0.7970856195344971,0.7333039129138668,0.9918846864108734,1.0
1333,AwesomeNegotiator,0.8573628482964047,0.13140475186614992,0.8357841014050769,0.7062745031878888,0.7818186757421468,S6,RVFitter,0.010738351600593887,n0MdKHAqO,False,False,False,,752181833690385695,0.7970856195344971,0.7333039129138668,0.9918846864108734,1.0
1334,UOAgent,0.42853521428840097,0.027441839804024756,0.41241068236325723,0.7041549421415594,0.5663450782149801,S0,AwesomeNegotiator,0.013474174222210422,nPuJsZ4Im,False,False,False,,8556608911983076651,0.9167095093252882,0.8681706160659899,0.9684712612898456,1.0
1335,AwesomeNegotiator,0.7041549421415594,0.5611273150736306,0.32589776484249605,0.42853521428840097,0.5663450782149801,S0,UOAgent,0.005084400312625803,nOY6WXVn4,False,False,False,,8556608911983076651,0.9167095093252882,0.8681706160659899,0.9684712612898456,1.0
1336,UOAgent,0.42853521428840097,0.027441839804024756,0.41241068236325723,0.7041549421415594,0.5663450782149801,S0,RVFitter,0.014385484988451935,nt5FhwiVj,False,False,False,,6855108204041723449,0.9167095093252882,0.8681706160659899,0.9684712612898456,1.0
1337,RVFitter,0.7041549421415594,0.5611273150736306,0.32589776484249605,0.42853521428840097,0.5663450782149801,S0,UOAgent,0.14825460892461706,ncjHNL1hF,False,False,False,,6855108204041723449,0.9167095093252882,0.8681706160659899,0.9684712612898456,1.0
1338,Shochan,0.8158515537720382,0.34365556411290143,0.7303962348067875,0.30287354240506487,0.5593625480885516,DivideThePies3,RVFitter,7.065315630563418,nANHllMeH,False,False,False,,8956165223720113805,0.7338934091973737,0.7348673887592878,0.9464374225639137,0.959939618259156
1339,RVFitter,0.30287354240506487,0.24015350268590402,0.08582432260029915,0.8158515537720382,0.5593625480885516,DivideThePies3,Shochan,0.058785774643183686,narF0UHPK,False,False,False,,8956165223720113805,0.7338934091973737,0.7348673887592878,0.9464374225639137,0.959939618259156
